image_name,bus,traffic light,traffic sign,person,bike,truck,motor,car,rider
train_A_1,0,2,2,0,0,0,0,2,0
train_A_2,0,0,3,1,0,0,0,1,0
train_A_3,0,0,0,0,0,0,0,9,0
train_A_4,0,0,2,0,0,0,0,5,0
train_A_5,0,0,2,2,0,0,0,16,0
train_A_6,0,3,7,0,0,1,0,3,0
train_A_7,1,1,6,9,0,1,0,13,0
train_A_8,0,0,2,0,0,2,0,12,0
train_A_9,1,5,2,0,0,2,0,4,0
train_A_10,0,11,7,0,0,0,0,6,0
train_A_11,0,5,5,11,0,1,0,3,0
train_A_12,0,0,2,1,0,1,0,6,0
train_A_13,1,0,1,3,0,0,0,16,0
train_A_14,1,5,3,0,0,0,0,5,0
train_A_15,0,0,0,2,0,0,0,6,0
train_A_16,0,0,1,0,0,0,0,7,0
train_A_17,0,10,9,2,0,0,0,8,0
train_A_18,1,1,2,7,0,0,0,11,0
train_A_19,1,11,6,8,1,0,0,12,1
train_A_20,0,2,2,2,0,2,0,5,0
train_A_21,1,4,5,0,0,0,0,4,0
train_A_22,0,10,2,2,0,1,0,12,0
train_A_23,0,2,2,5,1,1,0,10,1
train_A_24,0,1,2,0,0,0,0,14,0
train_A_25,0,0,0,0,0,3,0,21,0
train_A_26,0,11,4,0,1,0,0,15,0
train_A_27,0,4,2,1,0,1,0,11,0
train_A_28,0,2,0,2,0,1,1,10,1
train_A_29,0,6,3,0,1,1,0,9,0
train_A_30,0,7,2,0,0,0,0,5,0
train_A_31,0,3,3,0,0,0,0,23,0
train_A_32,0,0,3,3,0,0,0,0,0
train_A_33,0,0,1,1,0,0,0,2,0
train_A_34,0,0,2,0,0,2,0,7,0
train_A_35,2,0,5,0,0,0,0,13,0
train_A_36,0,0,3,0,0,1,0,15,0
train_A_37,0,3,6,0,0,0,0,5,0
train_A_38,0,1,5,0,0,0,0,15,0
train_A_39,0,10,2,12,1,1,0,6,0
train_A_40,2,4,3,0,0,0,0,3,0
train_A_41,0,2,4,0,0,0,0,5,0
train_A_42,0,1,0,0,0,4,0,9,0
train_A_43,1,6,3,4,0,0,0,5,0
train_A_44,0,0,5,0,0,0,0,3,0
train_A_45,0,0,2,0,0,1,0,6,0
train_A_46,0,11,9,10,0,0,0,12,0
train_A_47,0,4,3,1,0,0,0,15,0
train_A_48,0,0,2,0,0,3,0,13,0
train_A_49,1,0,5,0,0,1,0,22,0
train_A_50,0,0,1,0,0,0,0,12,0
train_A_51,0,3,0,0,0,0,0,7,0
train_A_52,0,0,0,0,0,0,0,7,0
train_A_53,0,0,2,0,0,0,0,1,0
train_A_54,0,1,0,0,0,1,0,8,0
train_A_55,0,0,0,0,0,0,0,5,0
train_A_56,1,4,5,0,0,0,0,5,0
train_A_57,0,2,0,0,0,0,0,2,0
train_A_58,0,0,5,0,0,0,0,20,0
train_A_59,0,0,7,0,0,0,0,11,0
train_A_60,0,0,2,0,0,0,0,11,0
train_A_61,0,5,3,1,0,1,0,2,0
train_A_62,0,0,5,0,0,0,0,10,0
train_A_63,0,0,2,3,0,0,0,5,0
train_A_64,0,0,1,0,0,0,0,10,0
train_A_65,0,3,4,0,0,0,0,6,0
train_A_66,0,0,2,0,0,0,0,13,0
train_A_67,0,0,1,4,0,0,0,0,0
train_A_68,0,0,0,0,0,1,0,6,0
train_A_69,0,11,5,4,0,0,0,8,0
train_A_70,0,0,0,0,0,0,0,7,0
train_A_71,0,0,4,0,0,0,0,9,0
train_A_72,1,0,2,0,0,0,0,14,0
train_A_73,0,8,3,1,0,0,0,7,0
train_A_74,0,0,0,0,0,0,0,13,0
train_A_75,0,2,2,0,0,1,0,20,0
train_A_76,0,3,3,3,0,0,0,4,0
train_A_77,0,9,5,3,0,0,0,7,0
train_A_78,0,6,1,0,0,0,0,3,0
train_A_79,0,0,3,0,0,0,0,5,0
train_A_80,0,0,7,7,0,0,0,7,0
train_A_81,2,5,3,14,1,1,0,5,1
train_A_82,0,4,2,1,0,0,0,17,0
train_A_83,0,6,3,0,1,0,0,15,1
train_A_84,0,3,1,0,0,1,0,11,0
train_A_85,1,3,5,1,0,2,0,7,0
train_A_86,1,7,4,0,0,0,0,4,0
train_A_87,0,0,0,0,0,0,0,10,0
train_A_88,0,2,1,0,0,0,0,16,0
train_A_89,0,0,0,0,0,0,0,14,0
train_A_90,0,3,8,3,4,0,0,7,0
train_A_91,0,0,2,2,0,0,0,17,0
train_A_92,1,2,3,5,0,1,0,8,0
train_A_93,0,0,5,5,1,0,0,8,0
train_A_94,0,0,1,0,0,0,0,13,0
train_A_95,0,6,6,2,0,1,0,13,0
train_A_96,0,8,6,2,0,0,0,9,0
train_A_97,0,0,2,3,0,0,0,4,0
train_A_98,0,11,9,0,0,0,0,0,0
train_A_99,0,12,4,3,1,1,0,13,1
train_A_100,0,3,3,7,0,0,0,5,0
train_A_101,0,4,7,4,6,0,0,18,1
train_A_102,0,1,4,2,1,1,0,9,1
train_A_103,0,0,2,0,0,0,0,17,0
train_A_104,0,10,9,7,0,0,0,10,0
train_A_105,0,2,6,9,0,1,0,12,0
train_A_106,0,0,0,0,0,0,0,9,0
train_A_107,0,7,6,0,0,0,0,18,0
train_A_108,0,0,4,0,0,1,0,14,0
train_A_109,0,0,6,0,0,0,0,3,0
train_A_110,0,4,1,0,0,0,0,4,0
train_A_111,0,0,3,0,0,1,0,4,0
train_A_112,0,0,6,0,0,0,0,6,0
